FORMNummer;KLE nummer
02;Ikke med i KLE
02.05;00.03.02
02.05.05;Ikke med i KLE
02.05.05.05;Ikke med i KLE
02.05.05.10;Ikke med i KLE
02.05.05.15;Ikke med i KLE
02.05.05.20;Ikke med i KLE
02.05.10;Ikke med i KLE
02.05.10.05;Ikke med i KLE
02.05.15;Ikke med i KLE
02.05.15.05;Ikke med i KLE
02.05.20;Ikke med i KLE
02.05.20.05;Ikke med i KLE
02.05.25;Ikke med i KLE
02.05.25.10;Ikke med i KLE
02.05.25.15;Ikke med i KLE
02.05.25.20;Ikke med i KLE
02.05.25.25;Ikke med i KLE
02.05.25.30;Ikke med i KLE
02.05.25.35;Ikke med i KLE
02.05.25.95;Ikke med i KLE
02.05.35;Ikke med i KLE
02.05.35.05;Ikke med i KLE
02.10;Ikke med i KLE
02.10.05;Ikke med i KLE
02.10.05.04;Ikke med i KLE
03;Ikke med i KLE
03.05;Ikke med i KLE
03.05.05;Ikke med i KLE
03.05.05.05;Ikke med i KLE
03.05.05.10;Ikke med i KLE
03.05.05.15;Ikke med i KLE
03.05.05.25;Ikke med i KLE
03.05.05.30;Ikke med i KLE
03.05.05.35;Ikke med i KLE
03.05.05.40;Ikke med i KLE
03.05.10;Ikke med i KLE
03.05.10.05;Ikke med i KLE
03.05.10.10;Ikke med i KLE
03.05.10.15;Ikke med i KLE
03.05.10.20;Ikke med i KLE
03.10;00.03.10
03.10.05;00.03.08
03.10.05.05;Ikke med i KLE
03.10.05.10;Ikke med i KLE
03.10.05.15;Ikke med i KLE
03.10.05.20;Ikke med i KLE
03.10.10;Ikke med i KLE
03.10.10.05;Ikke med i KLE
03.10.10.10;Ikke med i KLE
03.10.10.15;Ikke med i KLE
03.10.10.20;Ikke med i KLE
03.10.15;Ikke med i KLE
03.10.15.05;Ikke med i KLE
03.10.15.10;Ikke med i KLE
03.10.15.15;Ikke med i KLE
03.35;Ikke med i KLE
03.35.02;Ikke med i KLE
03.35.02.05;Ikke med i KLE
03.35.02.10;Ikke med i KLE
03.35.02.15;Ikke med i KLE
03.35.02.20;Ikke med i KLE
03.35.07;Ikke med i KLE
03.35.07.05;Ikke med i KLE
03.35.07.07;Ikke med i KLE
03.35.07.10;Ikke med i KLE
03.35.07.25;Ikke med i KLE
03.35.12;Ikke med i KLE
03.35.12.02;Ikke med i KLE
03.35.12.07;Ikke med i KLE
03.35.12.25;Ikke med i KLE
05;"00;84"
05.05;00.07.00
05.05.05;Ikke med i KLE
05.05.05.05;Ikke med i KLE
05.05.08;00.07.00
05.05.08.05;00.07.01
05.05.08.10;00.07.02
05.05.08.15;"00.07.03;00.07.10;85.02.01;85.02.15"
05.05.08.20;00.07.04
05.05.08.25;00.07.05
05.05.08.30;00.07.06
05.05.08.35;00.07.07
05.05.08.40;00.07.08
05.05.08.45;00.07.15
05.05.08.50;00.07.20
05.05.12;85.10.00
05.05.12.05;"85.10.03;85.10.10"
05.05.12.10;85.10.01
05.05.12.15;85.10.09
05.05.12.20;Ikke med i KLE
05.05.12.25;85.10.06
05.05.12.30;85.10.11
05.05.12.35;85.10.05
05.05.12.40;Ikke med i KLE
05.05.12.42;Ikke med i KLE
05.05.12.45;85.10.16
05.05.14;Ikke med i KLE
05.05.14.05;Ikke med i KLE
05.05.14.10;Ikke med i KLE
05.05.14.15;Ikke med i KLE
05.05.15;84.00.00
05.05.15.05;84.07.00
05.05.15.10;84.01.00
05.05.15.15;"84.02.00;84.03.00;84.03.02;84.03.03;84.03.04;84.03.05;84.03.06;84.03.07;84.03.10"
05.05.15.35;84.06.00
05.05.15.39;84.03.01
05.05.15.41;84.03.01
05.05.15.45;"84.03.08;84.03.09"
05.05.20;Ikke med i KLE
05.05.20.05;Ikke med i KLE
05.05.20.15;84.00.10
05.05.20.20;Ikke med i KLE
05.05.25;Ikke med i KLE
05.05.25.05;Ikke med i KLE
05.05.25.20;Ikke med i KLE
05.05.25.30;Ikke med i KLE
05.05.25.40;Ikke med i KLE
05.05.30;Ikke med i KLE
05.05.30.05;Ikke med i KLE
05.05.30.10;Ikke med i KLE
05.05.30.15;Ikke med i KLE
05.05.30.20;Ikke med i KLE
05.05.30.25;Ikke med i KLE
05.05.30.30;Ikke med i KLE
05.05.30.35;Ikke med i KLE
05.05.35;Ikke med i KLE
05.05.35.10;Ikke med i KLE
05.05.40;Ikke med i KLE
05.05.40.05;Ikke med i KLE
05.05.40.10;Ikke med i KLE
05.05.40.15;Ikke med i KLE
05.05.45;"00.18.00;00.22.00;81.14.00"
05.05.45.05;"00.01.00;00.07.40;00.22.00;00.22.02;00.22.04;00.24.00"
05.05.45.07;00.18.04
05.05.45.08;Ikke med i KLE
05.05.45.10;00.22.00
05.05.45.25;81.14.10
05.05.45.30;"00.18.00;00.18.02;00.18.04"
05.05.47;Ikke med i KLE
05.05.47.05;Ikke med i KLE
05.05.50;Ikke med i KLE
05.05.50.05;Ikke med i KLE
05.05.50.10;Ikke med i KLE
05.05.55;Ikke med i KLE
05.05.55.05;Ikke med i KLE
05.05.55.08;Ikke med i KLE
05.05.55.10;Ikke med i KLE
05.05.55.15;Ikke med i KLE
05.05.60;Ikke med i KLE
05.05.60.10;Ikke med i KLE
05.05.60.15;00.07.17
05.05.60.20;Ikke med i KLE
05.10;Ikke med i KLE
05.10.02;Ikke med i KLE
05.10.02.05;Ikke med i KLE
05.10.02.10;Ikke med i KLE
05.10.07;Ikke med i KLE
05.10.07.05;Ikke med i KLE
05.10.07.10;Ikke med i KLE
05.10.07.15;Ikke med i KLE
05.10.12;Ikke med i KLE
05.10.12.05;Ikke med i KLE
05.10.12.10;Ikke med i KLE
05.10.12.15;Ikke med i KLE
05.10.12.20;Ikke med i KLE
05.10.17;Ikke med i KLE
05.10.17.05;Ikke med i KLE
05.10.17.10;Ikke med i KLE
05.10.17.15;Ikke med i KLE
05.10.22;Ikke med i KLE
05.10.22.05;Ikke med i KLE
05.10.22.10;Ikke med i KLE
05.10.22.15;Ikke med i KLE
05.10.22.20;Ikke med i KLE
05.10.22.25;Ikke med i KLE
05.15;"00.13.06;00.14.00"
05.15.10;"00.13.06;00.14.00"
05.15.10.10;"00.14.00;00.14.10;00.14.20"
05.15.10.20;00.13.06
06;"00;85"
06.05;Ikke med i KLE
06.05.03;Ikke med i KLE
06.05.03.05;Ikke med i KLE
06.05.05;Ikke med i KLE
06.05.05.05;Ikke med i KLE
06.05.05.10;Ikke med i KLE
06.05.05.15;Ikke med i KLE
06.05.05.20;Ikke med i KLE
06.05.05.25;Ikke med i KLE
06.05.05.30;Ikke med i KLE
06.05.10;Ikke med i KLE
06.05.10.05;Ikke med i KLE
06.05.15;Ikke med i KLE
06.05.15.10;00.30.00
06.05.15.20;Ikke med i KLE
06.05.20;Ikke med i KLE
06.05.20.05;Ikke med i KLE
06.05.20.15;Ikke med i KLE
06.05.20.20;Ikke med i KLE
06.05.20.25;Ikke med i KLE
06.05.22;Ikke med i KLE
06.05.22.05;Ikke med i KLE
06.05.22.10;Ikke med i KLE
06.05.22.15;Ikke med i KLE
06.05.25;Ikke med i KLE
06.05.25.05;Ikke med i KLE
06.10;Ikke med i KLE
06.10.13;Ikke med i KLE
06.10.13.05;Ikke med i KLE
06.10.13.10;Ikke med i KLE
06.10.13.15;Ikke med i KLE
06.10.13.20;Ikke med i KLE
06.10.13.25;Ikke med i KLE
06.10.13.30;Ikke med i KLE
06.10.13.35;Ikke med i KLE
06.10.13.40;Ikke med i KLE
06.30;Ikke med i KLE
06.30.02;00.32.28
06.30.02.05;00.32.28
06.30.02.10;00.32.28
06.30.02.15;00.32.28
06.30.02.20;00.32.28
06.30.02.25;00.32.28
06.30.02.30;00.32.28
06.30.02.35;00.32.28
06.30.04;Ikke med i KLE
06.30.04.10;Ikke med i KLE
06.30.06;Ikke med i KLE
06.30.06.05;Ikke med i KLE
06.30.06.10;Ikke med i KLE
06.30.06.15;29.06.04
06.30.06.20;00.30.00
06.30.06.25;00.30.00
06.30.08;Ikke med i KLE
06.30.08.05;Ikke med i KLE
06.30.08.10;Ikke med i KLE
06.30.09;Ikke med i KLE
06.30.09.05;Ikke med i KLE
06.30.10;Ikke med i KLE
06.30.10.30;"15.40.00;32.21.00"
06.30.10.40;Ikke med i KLE
06.30.10.45;00.32.22
06.30.10.50;00.30.00
06.30.10.55;29.06.00
06.30.15;Ikke med i KLE
06.30.15.05;27.03.12
06.35;Ikke med i KLE
06.35.05;Ikke med i KLE
06.35.05.05;Ikke med i KLE
06.35.05.10;00.03.04
06.35.10;Ikke med i KLE
06.35.10.10;Ikke med i KLE
06.35.10.20;Ikke med i KLE
06.35.10.30;Ikke med i KLE
06.35.10.40;Ikke med i KLE
06.35.15;Ikke med i KLE
06.35.15.07;Ikke med i KLE
06.35.15.12;Ikke med i KLE
06.35.15.15;Ikke med i KLE
06.35.15.20;Ikke med i KLE
06.35.15.22;Ikke med i KLE
06.35.15.25;Ikke med i KLE
06.35.15.30;Ikke med i KLE
06.35.15.35;Ikke med i KLE
06.37;Ikke med i KLE
06.37.05;Ikke med i KLE
06.37.05.05;Ikke med i KLE
06.37.05.10;Ikke med i KLE
06.37.05.15;Ikke med i KLE
06.37.05.20;Ikke med i KLE
06.37.05.25;Ikke med i KLE
06.37.05.30;Ikke med i KLE
06.38;Ikke med i KLE
06.38.10;Ikke med i KLE
06.38.10.10;85.13.00
06.38.10.20;Ikke med i KLE
06.38.20;Ikke med i KLE
06.38.20.10;Ikke med i KLE
06.38.20.20;Ikke med i KLE
06.40;Ikke med i KLE
06.40.05;Ikke med i KLE
06.40.05.05;Ikke med i KLE
06.40.05.10;Ikke med i KLE
06.40.05.15;Ikke med i KLE
06.40.05.20;Ikke med i KLE
06.40.05.25;Ikke med i KLE
06.45;Ikke med i KLE
06.45.05;Ikke med i KLE
06.45.05.05;Ikke med i KLE
06.45.05.10;Ikke med i KLE
08;23
08.15;"23.04.00;23.05.00;23.06.00;23.09.00"
08.15.05;"23.05.00;23.06.00;23.09.00"
08.15.05.05;23.05.01
08.15.05.10;23.05.10
08.15.05.15;23.05.12
08.15.05.25;23.05.05
08.15.05.45;23.09.15
08.15.05.48;23.09.00
